window,variable,pre_etf,post_etf,change,abs_change
30,Open,0.84623918595134,0.8301223586027501,-0.01611682734858988,0.01611682734858988
30,High,0.9523770761007605,0.9379912514119473,-0.01438582468881322,0.01438582468881322
30,Low,0.9304744761186675,0.9234793877939831,-0.006995088324684429,0.006995088324684429
30,Volume,0.2993607938724801,0.4453930808451691,0.146032286972689,0.146032286972689
30,EMA5_close,0.915580530334842,0.9026198973951437,-0.012960632939698291,0.012960632939698291
30,EMA10_close,0.8395753261246508,0.786192927853025,-0.05338239827162583,0.05338239827162583
30,EMA14_close,0.8106794029905017,0.717132244367333,-0.09354715862316865,0.09354715862316865
30,EMA20_close,0.7891368150031371,0.6494212297118535,-0.1397155852912837,0.1397155852912837
30,EMA30_close,0.7727559863388691,0.5758090963999505,-0.19694688993891862,0.19694688993891862
30,EMA100_close,0.6668313826170548,0.42913220945311437,-0.2376991731639404,0.2376991731639404
30,EMA200_close,0.7316265999797552,0.4191903490580961,-0.3124362509216591,0.3124362509216591
30,EMA100_volume,0.6269659105068898,0.2655098957827792,-0.36145601472411054,0.36145601472411054
30,EMA200_volume,0.5420430695996911,0.3425469613376161,-0.19949610826207498,0.19949610826207498
30,SMA5_close,0.8593394539170117,0.8330092964050928,-0.026330157511918917,0.026330157511918917
30,SMA10_close,0.7411451611275945,0.6521966455118708,-0.0889485156157237,0.0889485156157237
30,SMA20_close,0.7519649644470559,0.4729402975168377,-0.27902466693021816,0.27902466693021816
30,SMA30_close,0.7279873414996921,0.40627927693836535,-0.3217080645613268,0.3217080645613268
30,market_cap_approx,0.402846232930388,0.5506123111352823,0.1477660782048943,0.1477660782048943
30,EMA5_marketcap,0.633092228746982,0.5994469097398751,-0.03364531900710688,0.03364531900710688
30,EMA10_marketcap,0.7056861086586572,0.5586150938855851,-0.14707101477307216,0.14707101477307216
30,EMA14_marketcap,0.7283429547526761,0.5147554513999651,-0.21358750335271093,0.21358750335271093
30,EMA20_marketcap,0.7348360346785479,0.45777308226042474,-0.2770629524181231,0.2770629524181231
30,EMA30_marketcap,0.7216301620718361,0.391941959242035,-0.32968820282980105,0.32968820282980105
30,EMA100_marketcap,0.6362785217005528,0.33082231605763224,-0.30545620564292053,0.30545620564292053
30,EMA200_marketcap,0.5827083895304612,0.39406422140301783,-0.1886441681274434,0.1886441681274434
30,SMA5_marketcap,0.6318662787907184,0.5354431895084263,-0.09642308928229215,0.09642308928229215
30,SMA10_marketcap,0.6108231881388267,0.5219105256381733,-0.08891266250065344,0.08891266250065344
30,SMA20_marketcap,0.729663873612994,0.23138188579219146,-0.4982819878208026,0.4982819878208026
30,SMA30_marketcap,0.638830921687569,0.07819550134656854,-0.5606354203410006,0.5606354203410006
30,RSI,0.4781842585760953,0.6540160279935585,0.1758317694174632,0.1758317694174632
30,MACD,0.45242142344678676,0.7069381084324878,0.25451668498570107,0.25451668498570107
30,MACD_signal,0.3473031695285653,0.538234326814744,0.1909311572861787,0.1909311572861787
30,MACD_diff,0.3322727057172161,0.5990591488664686,0.2667864431492525,0.2667864431492525
30,BB_high,0.703464898288668,0.42431900253729465,-0.27914589575137333,0.27914589575137333
30,BB_low,0.2548311520840954,0.3782848306989521,0.12345367861485668,0.12345367861485668
30,BB_mid,0.7519649644470559,0.4729402975168377,-0.27902466693021816,0.27902466693021816
30,BB_width,0.28666996600390526,0.2187193621545012,-0.06795060384940407,0.06795060384940407
30,ATR,0.629458742750248,0.2492738884729727,-0.38018485427727533,0.38018485427727533
30,OBV,0.797787702171996,0.8271058021250821,0.029318099953086096,0.029318099953086096
30,Stoch_K,0.3996121980776913,0.5028473080596133,0.10323510998192198,0.10323510998192198
30,Stoch_D,0.3090965973828659,0.4813072675613502,0.17221067017848435,0.17221067017848435
30,ADX,0.2289719004332557,0.309633108097616,0.08066120766436033,0.08066120766436033
30,CCI,0.3755667115883461,0.5817819905093359,0.2062152789209898,0.2062152789209898
30,Williams_R,0.39961219807631415,0.502847308055342,0.1032351099790278,0.1032351099790278
30,ROC,0.4034202880717269,0.657562606049455,0.2541423179777281,0.2541423179777281
30,MFI,0.34067467682465996,0.355046445855595,0.014371769030935067,0.014371769030935067
30,daily_return,0.2519616607442286,0.28275144972049443,0.03078978897626583,0.03078978897626583
30,cumulative_return,1.0000000000021407,1.0000000000003042,-1.836530927334934e-12,1.836530927334934e-12
30,volatility_20d,0.1814699453446769,-0.06080885450946253,-0.24227879985413941,0.24227879985413941
30,volume_change,0.0025341083590197542,0.08896229288861847,0.08642818452959872,0.08642818452959872
30,QQQ,0.17746790766830037,0.12069169859873097,-0.0567762090695694,0.0567762090695694
30,SPX,0.16599639355963022,0.2766706709167024,0.11067427735707216,0.11067427735707216
30,UUP,-0.004152490033302631,-0.0604825122510115,-0.056330022217708865,0.056330022217708865
30,EURUSD,0.13921050350687858,0.13712511493999313,-0.002085388566885449,0.002085388566885449
30,GOLD,0.1491492980887199,0.1980059750656063,0.04885667697688639,0.04885667697688639
30,SILVER,-0.007662569641929053,0.26039124959847504,0.2680538192404041,0.2680538192404041
30,OIL,-0.5483108558955117,0.10072308726580151,0.6490339431613131,0.6490339431613131
30,BSV,0.40825529574069913,-0.00019869229770473618,-0.4084539880384039,0.4084539880384039
30,DGS10,-0.20949012233103417,-0.03655693673892613,0.17293318559210805,0.17293318559210805
30,DEXUSEU,0.1445811631384746,0.20878186691087602,0.06420070377240142,0.06420070377240142
30,DTWEXBGS,-0.09319636275652043,-0.17854191840230144,-0.085345555645781,0.085345555645781
