window,variable,pre_etf,post_etf,change,abs_change
90,GDP,-inf,inf,inf,inf
90,Active_Addresses_MA90,0.23161575216316443,-0.6302248968411651,-0.8618406490043296,0.8618406490043296
90,UNRATE,-0.3323846047984771,0.43451618190749697,0.7669007867059741,0.7669007867059741
90,BAMLH0A0HYM2,0.046136733098018703,-0.7187169312512016,-0.7648536643492203,0.7648536643492203
90,OIL,-0.6721998023870299,0.0923577522552389,0.7645575546422688,0.7645575546422688
90,Difficulty_Compression,0.8385413552366942,0.08133571732942284,-0.7572056379072714,0.7572056379072714
90,M2SL,-0.06312215862655683,0.6679997340522902,0.731121892678847,0.731121892678847
90,IWM,0.057728407693739985,0.7618756183380342,0.7041472106442942,0.7041472106442942
90,Avg_Fee_Per_Tx_MA30,0.6275652755856507,-0.028325307867574853,-0.6558905834532255,0.6558905834532255
90,Miner_Revenue_to_Cap_MA30,0.6491981272235756,-0.003900684105147757,-0.6530988113287234,0.6530988113287234
90,NVT_Ratio,-0.018332183836951885,0.6239590542308842,0.6422912380678361,0.6422912380678361
90,BAMLC0A0CM,-0.02838874303818916,-0.6635515308092148,-0.6351627877710256,0.6351627877710256
90,Hash_Price_MA90,0.04112146351880397,0.672404489042108,0.6312830255233041,0.6312830255233041
90,bc_mempool_size,0.4427199093829865,-0.17962237055787805,-0.6223422799408646,0.6223422799408646
90,bc_n_transactions,0.3233900611015327,-0.2750909347526428,-0.5984809958541755,0.5984809958541755
90,SPX,0.21578582936980795,0.7698795138153964,0.5540936844455885,0.5540936844455885
90,bc_transaction_fees,0.40523274130134634,-0.14002939334025186,-0.5452621346415982,0.5452621346415982
90,Mempool_Stress,0.2098945566480403,-0.32357535733792675,-0.5334699139859671,0.5334699139859671
90,Avg_Fee_Per_Tx,0.4275883502669165,-0.10346193443841555,-0.531050284705332,0.531050284705332
90,ADX,0.5730957741989958,0.04966073199820734,-0.5234350422007885,0.5234350422007885
90,DIA,0.2865759612684426,0.7640079623023528,0.4774320010339102,0.4774320010339102
90,EMA200_volume,0.28919067103493246,0.7624915551800757,0.47330088414514326,0.47330088414514326
90,MACD_signal,0.8117782948192473,0.34192648073882526,-0.4698518140804221,0.4698518140804221
90,Miner_Revenue_to_Cap,0.34145653989412544,-0.10710494666248974,-0.4485614865566152,0.4485614865566152
90,Puell_Multiple,0.7515909747635029,0.3186654476876868,-0.4329255270758161,0.4329255270758161
90,T10Y2Y,0.16320684667403895,-0.25671449750298203,-0.419921344177021,0.419921344177021
90,fear_greed_index,0.8891749731301538,0.4934983713157063,-0.3956766018144475,0.3956766018144475
90,QQQ,0.30319198623902766,0.6842655439956369,0.3810735577566092,0.3810735577566092
90,HYG,0.32160752955806654,0.6954366424033379,0.37382911284527137,0.37382911284527137
90,MACD,0.7752689881721003,0.40844445072656205,-0.3668245374455383,0.3668245374455383
90,Hash_Price,0.8568158573288694,0.4994381100515833,-0.35737774727728616,0.35737774727728616
90,DEXUSEU,0.4277516728356032,0.07414538177093914,-0.35360629106466407,0.35360629106466407
90,WTREGEN,0.3766753573402577,0.031895656723429734,-0.34477970061682794,0.34477970061682794
90,UUP,-0.20657155709259745,0.12876631983805442,0.33533787693065187,0.33533787693065187
90,EURUSD,0.38835238391771526,0.06262813916389508,-0.32572424475382017,0.32572424475382017
90,bc_n_unique_addresses,0.14650312846510388,-0.17332730778049385,-0.3198304362455977,0.3198304362455977
90,DXY,-0.36685222090778785,-0.07847338830714935,0.2883788326006385,0.2883788326006385
90,volatility_20d,0.37488475723015996,0.10610719012274088,-0.26877756710741907,0.26877756710741907
90,RSI,0.5431195267236544,0.2750012677471153,-0.26811825897653907,0.26811825897653907
90,VIXCLS,-0.20772069841389842,0.05939194496491006,0.26711264337880847,0.26711264337880847
90,VIX,-0.20607114461265735,0.06031167753863748,0.26638282215129483,0.26638282215129483
90,EMA200_marketcap,0.5207346376559333,0.7853561793773524,0.26462154172141905,0.26462154172141905
90,CPIAUCSL,0.5214148677675686,0.7772277343614579,0.25581286659388924,0.25581286659388924
90,Stoch_D,0.4628333859998824,0.23088402926049928,-0.2319493567393831,0.2319493567393831
90,Hash_Ribbon_Spread,0.3013025596526132,0.07146007602540488,-0.22984248362720833,0.22984248362720833
90,MACD_diff,0.08504865465159378,0.31358777692164097,0.2285391222700472,0.2285391222700472
90,Price_MA200,0.5748867059005368,0.7989653886196288,0.22407868271909204,0.22407868271909204
90,Active_Addresses_Change,0.16453093552270778,-0.056220822358335275,-0.22075175788104306,0.22075175788104306
90,DTWEXBGS,-0.2911149753139592,-0.07205590022926187,0.21905907508469732,0.21905907508469732
90,BSV,0.5852692024335769,0.36785770833173564,-0.2174114941018413,0.2174114941018413
90,bc_miners_revenue,0.7834405360180102,0.5721147605588085,-0.21132577545920173,0.21132577545920173
90,Williams_R,0.4338580432718944,0.23291669190364356,-0.20094135136825086,0.20094135136825086
90,Stoch_K,0.43385804326855915,0.23291669190519718,-0.20094135136336197,0.20094135136336197
90,FED_NET_LIQUIDITY,-0.6364643102076549,-0.8313004678536323,-0.1948361576459774,0.1948361576459774
90,WALCL,-0.6365052493916676,-0.8312776446458015,-0.1947723952541338,0.1947723952541338
90,NVT_Ratio_MA90,0.739092941148181,0.9096557250422275,0.17056278389404644,0.17056278389404644
90,Price_to_MA200,0.9874960104001758,0.825513865024535,-0.1619821453756407,0.1619821453756407
90,MFI,0.38362916555202226,0.23286141995065052,-0.15076774560137174,0.15076774560137174
90,Hash_Ribbon_MA30,0.6988498848958378,0.847431964288898,0.14858207939306023,0.14858207939306023
