Model,Train Acc,Test Acc,Precision,Recall,F1
XGBoost,0.9938712972420838,0.2634920634920635,0.3120307106565642,0.2634920634920635,0.23462328528303442
Random Forest,0.7773237997957099,0.10396825396825397,0.314503788078277,0.10396825396825397,0.08802086997519998
