구분,테스트일수,매수,매도,총거래,거래빈도,수익률,BnH,초과수익
Version A (70/30),515,26,25,51,9.9%,+161.96%,+71.91%,+90.05%p
Version B (2025만),286,10,9,19,6.6%,-0.38%,+22.08%,-22.47%p
