Strategy,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Trades
Baseline: Yesterday,0.0,0.0,0.0,0.0,0
Baseline: MA7,-22.820790893769527,-25.444948396076462,-1.091315241305784,-35.90143079553651,78
Baseline: Linear,-54.504507203926586,-59.04628131952522,-2.1086657117162724,-56.929308846718385,129
ElasticNet Long-Only,-3.8500684521868056,-4.366121811993495,-0.2411457653328831,-12.336925796458395,44
