Date,QQQ,SPX,UUP,EURUSD,GOLD,SILVER,OIL,BSV
2021-01-04,300.5498962402344,3700.64990234375,21.62885093688965,1.2250697612762451,1944.699951171875,27.284000396728516,47.619998931884766,73.78040313720703
2021-01-05,303.02764892578125,3726.860107421875,21.50403594970703,1.2251598834991455,1952.699951171875,27.570999145507812,49.93000030517578,73.74480438232422
2021-01-06,298.8299865722656,3748.139892578125,21.4772891998291,1.230027437210083,1906.9000244140625,26.972999572753906,50.630001068115234,73.67356872558594
2021-01-07,306.0592956542969,3803.7900390625,21.602102279663086,1.2341108322143555,1912.300048828125,27.200000762939453,50.83000183105469,73.66470336914062
2021-01-08,309.9945983886719,3824.679931640625,21.637765884399414,1.227144479751587,1834.0999755859375,24.582000732421875,52.2400016784668,73.6290283203125
2021-01-11,305.51513671875,3799.610107421875,21.77149772644043,1.2186205387115479,1849.5999755859375,25.23900032043457,52.25,73.6290283203125
2021-01-12,305.0293884277344,3801.18994140625,21.655597686767578,1.2160701751708984,1842.9000244140625,25.384000778198242,53.209999084472656,73.63798522949219
2021-01-13,307.08929443359375,3809.840087890625,21.72692108154297,1.2208894491195679,1853.5999755859375,25.520000457763672,52.90999984741211,73.68247985839844
2021-01-14,305.4471435546875,3795.5400390625,21.682344436645508,1.2162491083145142,1850.300048828125,25.746000289916992,53.56999969482422,73.67356872558594
2021-01-15,303.02764892578125,3768.25,21.824989318847656,1.2151259183883667,1829.300048828125,24.825000762939453,52.36000061035156,73.66470336914062
2021-01-18,303.02764892578125,3768.25,21.824989318847656,1.2068113088607788,1829.300048828125,24.825000762939453,52.36000061035156,73.66470336914062
2021-01-19,307.44873046875,3798.909912109375,21.762582778930664,1.207729458808899,1839.5,25.27899932861328,52.97999954223633,73.69139862060547
2021-01-20,314.600341796875,3851.85009765625,21.753665924072266,1.2138868570327759,1865.9000244140625,25.733999252319336,53.2400016784668,73.70027923583984
2021-01-21,317.116943359375,3853.070068359375,21.655597686767578,1.2115631103515625,1865.300048828125,25.82200050354004,53.130001068115234,73.72699737548828
2021-01-22,316.20361328125,3841.469970703125,21.70017433166504,1.2166293859481812,1855.699951171875,25.52400016784668,52.27000045776367,73.69139862060547
2021-01-25,318.81732177734375,3855.360107421875,21.72692108154297,1.216944694519043,1854.9000244140625,25.454999923706055,52.77000045776367,73.74480438232422
2021-01-26,319.28387451171875,3849.6201171875,21.664512634277344,1.214624047279358,1850.699951171875,25.52899932861328,52.61000061035156,73.72699737548828
2021-01-27,310.38323974609375,3750.77001953125,21.79824447631836,1.216299295425415,1844.9000244140625,25.375999450683594,52.849998474121094,73.74480438232422
2021-01-28,312.2197265625,3787.3798828125,21.744752883911133,1.2105072736740112,1837.9000244140625,25.909000396728516,52.34000015258789,73.70921325683594
2021-01-29,305.6511535644531,3714.239990234375,21.77149772644043,1.2120037078857422,1847.300048828125,26.899999618530273,52.20000076293945,73.74480438232422
2021-02-01,313.28857421875,3773.860107421875,21.87848472595215,1.2123857736587524,1860.800048828125,29.398000717163086,53.54999923706055,73.75015258789062
2021-02-02,318.39947509765625,3826.31005859375,21.905227661132812,1.2068694829940796,1830.5,26.384000778198242,54.7599983215332,73.7412338256836
2021-02-03,317.1363525390625,3830.169921875,21.89631462097168,1.203905463218689,1832.199951171875,26.878000259399414,55.689998626708984,73.7144775390625
2021-02-04,320.8870544433594,3871.739990234375,21.994384765625,1.2042388916015625,1788.9000244140625,26.222999572753906,56.22999954223633,73.72339630126953
2021-02-05,321.97528076171875,3886.830078125,21.86956787109375,1.1966731548309326,1810.9000244140625,27.013999938964844,56.849998474121094,73.73233032226562
2021-02-08,324.1324768066406,3915.590087890625,21.860652923583984,1.2048773765563965,1831.9000244140625,27.56999969482422,57.970001220703125,73.73233032226562
