feature,importance
daily_return,0.059178296163251674
MACD_diff,0.04075312517280996
ROC,0.0363078098270197
BSV,0.035223283934120275
google_trends_btc,0.03370772671001184
bc_mempool_size,0.03170574549397458
bc_n_unique_addresses,0.03090191620499392
MFI,0.027738427971646284
OBV,0.026261950452102195
OIL,0.026191429095080987
RSI,0.026051105957709753
volatility_20d,0.025868623286451474
volume_change,0.024503877590638785
bc_n_transactions,0.023344124849695978
Stoch_D,0.020931773836319164
Volume,0.020177211088342643
VIXCLS,0.01940064464744199
CCI,0.019286098992687094
EMA200_marketcap,0.019209118624773515
ADX,0.018513889506929556
market_cap_approx,0.017674289708129252
MACD_signal,0.017488364859914094
Stoch_K,0.017386027464748034
EMA100_marketcap,0.016649209219384623
SPX,0.016648785632315474
SILVER,0.016513890132724654
fear_greed_index,0.016190162198334003
Williams_R,0.016189946802497437
GOLD,0.01579900188296611
bc_transaction_fees,0.01572559131565394
UUP,0.01534058019311804
EURUSD,0.015066965612818001
bc_miners_revenue,0.014994174050107119
MACD,0.014355354684545314
EMA100_volume,0.014135886648809992
bc_total_bitcoins,0.0139512798624328
SMA20_marketcap,0.013565929626253385
bc_hash_rate,0.013236917703793108
DGS10,0.013035294602911767
EMA200_volume,0.012364622491729031
T10Y2Y,0.012006319884895322
EMA14_marketcap,0.011187253422686868
EMA10_marketcap,0.010922837110808506
DTWEXBGS,0.010748208759558904
M2SL,0.010570696600670025
EMA20_marketcap,0.00953987675270333
SMA30_marketcap,0.008502498186698789
ATR,0.007697990830101732
SMA5_marketcap,0.007679689329023619
QQQ,0.007590988381521216
DEXUSEU,0.0074077240366590994
SMA10_marketcap,0.00665600707976303
EMA5_marketcap,0.006324274840575779
bc_difficulty,0.006173417742440434
EMA30_marketcap,0.003577331201153544
DFF,0.0011582717703836458
UNRATE,0.0005039020421066198
CPIAUCSL,0.00018425792906199144
GDP,0.0
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
