feature,importance
DGS10,0.10020843003997403
OBV,0.0664771651591228
OIL,0.05740812166574071
GOLD,0.05287910395131535
SMA30_marketcap,0.037962493723227506
M2SL,0.03621380315617489
EMA200_marketcap,0.0333162217457052
ADX,0.032767664133335386
volatility_20d,0.03229375414723854
SILVER,0.031413026244687746
SPX,0.02842493633860677
MACD_diff,0.025419569501094003
MACD_signal,0.024755292955350425
DTWEXBGS,0.022676843006132236
UUP,0.021375458392060533
ROC,0.020662625975628977
VIXCLS,0.019994032419894604
EMA100_marketcap,0.019268800276422523
CCI,0.01689935913954763
BSV,0.01642401249187144
fear_greed_index,0.016163836479720625
ATR,0.016023453818266833
T10Y2Y,0.015583480037464443
MFI,0.014840948731256513
EMA100_volume,0.01427150929363228
QQQ,0.013906878593465932
bc_difficulty,0.013002315333668212
MACD,0.011251570357476932
EMA200_volume,0.010995512921227637
SMA20_marketcap,0.010751286618759232
google_trends_btc,0.010362250201656247
bc_miners_revenue,0.010300701463368
EMA5_marketcap,0.009548863842328037
Stoch_D,0.009418942685824544
bc_mempool_size,0.009337544525003265
bc_total_bitcoins,0.009265014773667183
bc_transaction_fees,0.009088727223137262
RSI,0.00870319792007673
EMA30_marketcap,0.008436177745263068
EURUSD,0.0078091981626636576
SMA10_marketcap,0.007747467702539312
SMA5_marketcap,0.006114922474671647
Volume,0.0056934713818964245
EMA20_marketcap,0.005676262244602896
DEXUSEU,0.005322295131921479
EMA14_marketcap,0.0052072887725656825
UNRATE,0.004933290476259283
EMA10_marketcap,0.004664392086587422
Williams_R,0.004594468810957885
bc_hash_rate,0.004185903341035943
daily_return,0.004141666011793132
market_cap_approx,0.003934989031411697
Stoch_K,0.003296496135551311
bc_n_transactions,0.003065774846164195
bc_n_unique_addresses,0.0024162793436351584
CPIAUCSL,0.001690660381886107
volume_change,0.001110492635520741
DFF,0.00030175399994174744
GDP,0.0
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
