strategy,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,final_value,win_rate,num_trades
Buy-and-Hold,71.91328072481194,46.81576811496242,38.02894123148404,1.2310563112970336,-28.144478094573678,17191.328072481192,50.679611650485434,0
Long-Only (ElasticNet),130.0948797868681,80.50829413070268,29.846632369004045,2.6973995972259557,-13.723643238443831,23009.487978686808,33.592233009708735,35
Long-Short (ElasticNet),207.96721161340784,121.93286639662819,37.93774396044184,3.214025233650401,-27.410932740961197,30796.72116134078,53.20388349514563,36
Threshold 1% (ElasticNet),144.18955412636882,88.27682407586876,29.330064839452795,3.009772551103427,-13.973397163806148,24418.955412636882,31.2621359223301,25
Threshold 2% (ElasticNet),101.24449805395139,64.15749270788082,28.547396080251136,2.247402618702042,-20.648691976003644,20124.44980539514,27.57281553398058,15
