model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape
Random Forest,0.9868696158017399,-5.8298490543607,1989.0093138444015,28266.341905794536,1542.4881782118346,26359.84383729071,2.2110114904196556,23.697350615044023
XGBoost,0.9954555486456306,-4.450013753535069,1170.1427046522747,25250.085567666825,909.7383840460526,23571.86551339286,1.323951310834585,21.200067105422683
