Date,IBIT_Price,FBTC_Price,GBTC_Price,ARKB_Price,BITB_Price,GBTC_Premium,Total_BTC_ETF_Volume,IBIT_Volume_Change_7d,FBTC_Volume_Change_7d,GBTC_Volume_Change_7d,ARKB_Volume_Change_7d,BITB_Volume_Change_7d
2024-08-01,36.06999969482422,55.349998474121094,50.529998779296875,21.066667556762695,34.5099983215332,-15.9638729807183,68234500,4.469565021334643,43.50077060046984,-4.93958422021108,150.93185579621502,102.2495572679845
2024-08-02,35.61000061035156,54.68000030517578,49.869998931884766,20.82666778564453,34.060001373291016,-11.737422508723036,58116800,52.57061060547794,79.63908078387144,36.212220981946366,59.426197984770404,207.83898305084745
2024-08-05,30.479999542236328,46.79999923706055,42.619998931884766,17.81333351135254,29.149999618530273,-14.197377987570151,157078600,345.22728101856916,283.9583812130455,267.86029219967486,293.1416837782341,266.6228710462287
2024-08-06,32.34000015258789,49.68000030517578,45.31999969482422,18.90333366394043,30.93000030517578,-12.08803391771174,62792100,36.80380227087732,3.3171045636419594,18.567714563438486,61.69425239192681,24.987091222030976
2024-08-07,31.190000534057617,47.880001068115234,43.66999816894531,18.226667404174805,29.829999923706055,-13.738725164905777,45785600,-36.18362260768841,-11.684682471440855,-21.556736232877615,-10.445917106593283,-14.045613908266164
2024-08-08,33.880001068115234,52.0099983215332,47.43000030517578,19.793333053588867,32.38999938964844,-16.45724527760527,54349900,68.18060953160155,71.69946085433851,33.83674157574006,48.714615829000586,84.55357142857143
2024-08-09,34.599998474121094,53.099998474121094,48.40999984741211,20.239999771118164,33.06999969482422,-13.568549374331084,32124400,-8.086007889738466,-17.808047675088268,80.42950819672132,-16.824136562127833,-21.749157353202055
2024-08-12,33.63999938964844,51.65999984741211,47.099998474121094,19.65999984741211,32.15999984741211,-13.745988866623804,34816100,-43.8352653629401,-62.40889231827993,-27.93769687468246,-58.204289974764855,-75.03313138962514
2024-08-13,34.63999938964844,53.2400016784668,48.5,20.273332595825195,33.18000030517578,-13.021335689819985,30643000,-43.46624246277246,-48.94441915584925,-39.98739740192594,-57.08978626911758,-77.37646249139712
2024-08-14,33.560001373291016,51.52000045776367,46.9900016784668,19.6200008392334,32.099998474121094,-13.043133961533318,34583300,-80.50607888726148,-81.71939447364697,-66.01973906162783,-70.51429367317803,-79.15079438818174
2024-08-15,32.5,49.880001068115234,45.5,19.00666618347168,31.09000015258789,-14.078461029573432,48739100,-26.542338353864224,-34.73439044536825,15.379785500950316,-19.61300911328986,-17.358074844217995
2024-08-16,34.029998779296875,52.2400016784668,47.630001068115234,19.899999618530273,32.529998779296875,-12.09351109186915,38110700,-6.837361148183884,2.338398414409393,-35.3251203393979,-45.48267068021238,-30.099659391951562
