feature,correlation_with_close
Close,1.0
cumulative_return,0.9999999999999992
High,0.9993292781260671
Low,0.9991805788099022
EMA5_close,0.9988621408466983
Open,0.998463148703569
SMA5_close,0.9982935417791823
EMA10_close,0.9971839030619871
bc_market_cap,0.9970872360480967
SMA10_close,0.996004716234504
EMA14_close,0.995826685051073
EMA20_close,0.9937430909961831
BB_mid,0.9915480176675308
SMA20_close,0.9915480176675308
BB_high,0.9903827159759342
EMA30_close,0.9901689579208823
SMA30_close,0.9869875605545869
BB_low,0.9839360651531334
EMA100_close,0.9682688109041598
