Model,Train R²,Test R²,RMSE,MAE,Direction Acc
ElasticNet,0.0,-0.00023570506695547166,0.7975743638615902,0.5362371875753478,0.4992063492063492
Lasso,0.0,-0.00023570506695547166,0.7975743638615902,0.5362371875753478,0.4992063492063492
Ridge,0.04047421901989712,-0.23672473404210703,0.8868629924788844,0.6248274501105255,0.503968253968254
Random Forest,0.19712423278062352,-3.179325569507127,1.6303209579619018,1.4289289191371897,0.5015873015873016
