horizon,model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape,feature_set,n_features,days
1-day,RF_top10,0.9539072020110752,0.6705314550453699,1920.0565070639007,3988.9697051750027,1478.0093403205942,3255.867217025601,3.256781186067595,5.630716439650501,top10,10,1
1-day,XGB_top10,0.9900103487976962,0.75828170662669,893.8664489513461,3416.713146412434,689.1776160037879,2795.536875,1.5452024101905892,4.911938578708064,top10,10,1
1-day,RF_top20,0.9571304385024948,0.6667837498532232,1851.7058333778907,4011.5928207839365,1432.512087301913,3261.706161632317,3.1549859488740513,5.68030841769163,top20,20,1
1-day,XGB_top20,0.9928513233266629,0.5647605504505182,756.1540829457144,4584.773500038234,588.7917089420996,3890.245078125,1.320988181362537,6.881563957379772,top20,20,1
1-day,RF_top30,0.9594567688257029,0.671524241914433,1800.7633907976517,3982.955193893904,1395.396659777349,3234.3179743661485,3.0746146947174604,5.623654313412016,top30,30,1
1-day,XGB_top30,0.9939252527741242,0.4018671989170546,697.0462254128448,5374.679462935647,550.9234222808442,4497.0846484375,1.2316894118476012,7.847886791309929,top30,30,1
1-day,RF_top40,0.9604555154390335,0.6456995125381648,1778.4449790499596,4136.562913747307,1368.1339466131456,3356.856039240281,3.012014332116357,5.820463068519041,top40,40,1
1-day,XGB_top40,0.9944571693911937,0.492157685617041,665.8298747669111,4952.428351795554,530.5106195887446,4145.5793359375,1.1855461262207376,7.255616035062673,top40,40,1
1-day,RF_top50,0.9608255060091938,0.6462388072659078,1770.1055828777273,4133.413502155624,1358.918242437169,3378.014632389426,2.9828080128784573,5.871781678110243,top50,50,1
1-day,XGB_top50,0.9947764228209249,0.5467091194670904,646.3704326822864,4678.883696024585,506.0802049512987,3990.50953125,1.1376259532531843,7.038906727031277,top50,50,1
1-day,RF_all,0.9616971182110671,0.6584543281173096,1750.3028468953905,4061.4223291710077,1343.9057790346435,3303.117438771197,2.9576975695506937,5.746599296635886,all,84,1
