Model,Train_R2,Test_R2,R2_Gap,Train_RMSE,Test_RMSE,Selected_Vars
Lasso,0.9890095854220385,0.7527094057975675,0.23630017962447103,1500.2241038510438,2886.1098389084136,48
Ridge,0.9907770607784887,0.20148057280483755,0.7892964879736512,1374.3070510844616,5186.230316892698,78
ElasticNet,0.9882993327498957,0.7168445307992848,0.2714548019506109,1547.941043913177,3088.314592830684,87
