date,bc_market_price,bc_hash_rate,bc_difficulty,bc_n_transactions,bc_n_unique_addresses,bc_total_bitcoins,bc_market_cap,bc_miners_revenue,bc_transaction_fees,bc_mempool_size,cm_adractcnt,cm_txcnt,cm_txtfrvaladjusd,cm_txtfrvalmeanusd,cm_hashrate,cm_isstotusd,cm_feetotusd,cm_diffmean
2025-07-27 04:15:00,117947.26,869131963.3112651,127620086886392.0,472894.0,457112.0,19897575.0,2339357892750.0,52743508.35291669,4.119706289999999,399612.5,615345,473722,6202367324.58046839970314675,13018.031902961087691056109815295,869131964.326308217145934071861752861932,51134464.063338421875,486977.1482401179639126,127620086886391.8
2025-07-27 10:14:59,117947.26,869131963.3112651,127620086886392.0,472894.0,457112.0,19898128.125,2348178100031.25,52743508.35291669,4.119706289999999,399612.5,615345,473722,6202367324.58046839970314675,13018.031902961087691056109815295,869131964.326308217145934071861752861932,51134464.063338421875,486977.1482401179639126,127620086886391.8
2025-07-28 00:00:00,119461.83,919884194.7454995,127620086886392.0,502252.0,529385.0,19898128.125,2348178100031.25,57401899.31434401,4.207920390000001,399612.5,728095,502425,14168077526.58571068585833006,25910.161635280868774516912407744,919884190.685319443851620952045963552272,53479007.535752328125,520847.64223051599972245,127620086886391.8
2025-07-28 09:30:00,119461.83,919884194.7454995,127620086886392.0,502252.0,529385.0,19898128.125,2348178100031.25,57401899.31434401,4.207920390000001,1402591.5,728095,502425,14168077526.58571068585833006,25910.161635280868774516912407744,919884190.685319443851620952045963552272,53479007.535752328125,520847.64223051599972245,127620086886391.8
2025-07-28 13:49:40,119461.83,919884194.7454995,127620086886392.0,502252.0,529385.0,19898687.5,2365953943750.0,57401899.31434401,4.207920390000001,1402591.5,728095,502425,14168077526.58571068585833006,25910.161635280868774516912407744,919884190.685319443851620952045963552272,53479007.535752328125,520847.64223051599972245,127620086886391.8
2025-07-29 00:00:00,118037.15,710531240.0792824,127620086886392.0,350960.0,561483.0,19898687.5,2365953943750.0,44261671.20515351,5.07253502,1402591.5,715626,346511,15537768326.79506767668256935,36630.646677308683626830712710586,710531242.109370439177109308517355723864,41254979.81338405,576547.07480319802872264,127620086886391.8
2025-07-29 14:45:00,118037.15,710531240.0792824,127620086886392.0,350960.0,561483.0,19898687.5,2365953943750.0,44261671.20515351,5.07253502,1762485.0,715626,346511,15537768326.79506767668256935,36630.646677308683626830712710586,710531242.109370439177109308517355723864,41254979.81338405,576547.07480319802872264,127620086886391.8
2025-07-30 00:00:00,117925.55,869131963.3112651,127620086886392.0,423333.0,554145.0,19898687.5,2365953943750.0,52500144.0726225,4.193228940000002,1762485.0,733090,426989,14540172439.94642547625850175,27488.152375732291272838904230275,869131964.326308217145934071861752861932,50404288.067247890625,504044.0415163454009985,127620086886391.8
2025-07-30 03:05:32,117925.55,869131963.3112651,127620086886392.0,423333.0,554145.0,19899246.875,2352687958031.25,52500144.0726225,4.193228940000002,1762485.0,733090,426989,14540172439.94642547625850175,27488.152375732291272838904230275,869131964.326308217145934071861752861932,50404288.067247890625,504044.0415163454009985,127620086886391.8
2025-07-30 20:00:00,117925.55,869131963.3112651,127620086886392.0,423333.0,554145.0,19899246.875,2352687958031.25,52500144.0726225,4.193228940000002,1554363.5,733090,426989,14540172439.94642547625850175,27488.152375732291272838904230275,869131964.326308217145934071861752861932,50404288.067247890625,504044.0415163454009985,127620086886391.8
2025-07-31 00:00:00,117828.87,976980455.1090133,127620086886392.0,485215.0,584264.0,19899246.875,2352687958031.25,57319369.463227905,3.9699688900000023,1554363.5,752871,477852,12986942221.96982001828561976,22092.364699351617751110926939104,976980451.048833110246885331779638552272,55752013.61782745,446678.5529203223759472,127620086886391.8
2025-07-31 10:02:25,117828.87,976980455.1090133,127620086886392.0,485215.0,584264.0,19899796.875,2363498874843.75,57319369.463227905,3.9699688900000023,1554363.5,752871,477852,12986942221.96982001828561976,22092.364699351617751110926939104,976980451.048833110246885331779638552272,55752013.61782745,446678.5529203223759472,127620086886391.8
2025-08-01 00:00:00,115754.1,957948368.3211753,127620086886392.0,400385.0,636772.0,19899796.875,2363498874843.75,56353797.87732009,5.450971709999999,1554363.5,838177,399495,19770042652.22466745632390105,36240.450404209892776806785961381,957948367.306129107502526079615847138068,53455011.858578784375,617772.52306816369962615,127620086886391.8
2025-08-01 01:15:00,115754.1,957948368.3211753,127620086886392.0,400385.0,636772.0,19899796.875,2363498874843.75,56353797.87732009,5.450971709999999,737456.0,838177,399495,19770042652.22466745632390105,36240.450404209892776806785961381,957948367.306129107502526079615847138068,53455011.858578784375,617772.52306816369962615,127620086886391.8
2025-08-01 13:12:49,115754.1,957948368.3211753,127620086886392.0,400385.0,636772.0,19900343.75,2307046850937.5,56353797.87732009,5.450971709999999,737456.0,838177,399495,19770042652.22466745632390105,36240.450404209892776806785961381,957948367.306129107502526079615847138068,53455011.858578784375,617772.52306816369962615,127620086886391.8
2025-08-02 00:00:00,113262.81,919884194.7454995,127620086886392.0,309743.0,526686.0,19900343.75,2307046850937.5,52630766.709140696,4.1024272999999996,737456.0,693800,307246,6247108247.79159739989526656,16458.371789932917792737230252416,919884190.685319443851620952045963552272,50997258.376854,458464.39391877788307072,127620086886391.8
2025-08-02 06:30:00,113262.81,919884194.7454995,127620086886392.0,309743.0,526686.0,19900343.75,2307046850937.5,52630766.709140696,4.1024272999999996,548154.5,693800,307246,6247108247.79159739989526656,16458.371789932917792737230252416,919884190.685319443851620952045963552272,50997258.376854,458464.39391877788307072,127620086886391.8
2025-08-02 17:53:01,113262.81,919884194.7454995,127620086886392.0,309743.0,526686.0,19900900.0,2256165033000.0,52630766.709140696,4.1024272999999996,548154.5,693800,307246,6247108247.79159739989526656,16458.371789932917792737230252416,919884190.685319443851620952045963552272,50997258.376854,458464.39391877788307072,127620086886391.8
2025-08-03 00:00:00,112521.7,983324484.0382924,127620086886392.0,283479.0,462597.0,19900900.0,2256165033000.0,58460508.735578604,2.9403954,548154.5,621756,289554,6176498943.55406163246916499,17118.893735021413643786688185653,983324485.053335549936462831329102861932,55346476.755912828125,331869.34319834366410167,127620086886391.8
2025-08-03 11:45:00,112521.7,983324484.0382924,127620086886392.0,283479.0,462597.0,19900900.0,2256165033000.0,58460508.735578604,2.9403954,1115767.5,621756,289554,6176498943.55406163246916499,17118.893735021413643786688185653,983324485.053335549936462831329102861932,55346476.755912828125,331869.34319834366410167,127620086886391.8
2025-08-03 22:04:06,112521.7,983324484.0382924,127620086886392.0,283479.0,462597.0,19901456.25,2282498017312.5,58460508.735578604,2.9403954,1115767.5,621756,289554,6176498943.55406163246916499,17118.893735021413643786688185653,983324485.053335549936462831329102861932,55346476.755912828125,331869.34319834366410167,127620086886391.8
2025-08-04 00:00:00,114226.86,1084828946.9067616,127620086886392.0,443301.0,542397.0,19901456.25,2282498017312.5,63216750.855126135,3.3328413100000005,1115767.5,728238,451189,13654141156.27082312229126528,29506.267204165709563719350291712,1084828946.906759661510023214939825,61559964.5491692,387202.00255613348180352,127620086886391.8
2025-08-04 17:00:00,114226.86,1084828946.9067616,127620086886392.0,443301.0,542397.0,19901456.25,2282498017312.5,63216750.855126135,3.3328413100000005,1643749.0,728238,451189,13654141156.27082312229126528,29506.267204165709563719350291712,1084828946.906759661510023214939825,61559964.5491692,387202.00255613348180352,127620086886391.8
2025-08-04 21:54:21,114226.86,1084828946.9067616,127620086886392.0,443301.0,542397.0,19902009.375,2295895801500.0,63216750.855126135,3.3328413100000005,1643749.0,728238,451189,13654141156.27082312229126528,29506.267204165709563719350291712,1084828946.906759661510023214939825,61559964.5491692,387202.00255613348180352,127620086886391.8
2025-08-05 00:00:00,115068.27,875475992.2405444,127620086886392.0,411399.0,569616.0,19902009.375,2295895801500.0,49657668.28134079,3.6740329099999998,1643749.0,798131,408980,13025113435.1483473802234208,27414.85853546500846487371945443,875475989.195408998673324948168916414204,49210524.4391893125,432443.1622612571647674,127620086886391.8
2025-08-05 22:15:00,115068.27,875475992.2405444,127620086886392.0,411399.0,569616.0,19902009.375,2295895801500.0,49657668.28134079,3.6740329099999998,2853662.0,798131,408980,13025113435.1483473802234208,27414.85853546500846487371945443,875475989.195408998673324948168916414204,49210524.4391893125,432443.1622612571647674,127620086886391.8
2025-08-06 00:00:00,114138.05,913540165.8162203,127620086886392.0,496208.0,665517.0,19902009.375,2295895801500.0,52223364.3962656,5.8791241,2853662.0,838450,495331,10523844306.01346762052259035,19322.678774904386457937573511195,913540165.8162186623242300757388,51765605.43703965,669966.37371189134632933,127620086886391.8
2025-08-06 04:59:27,114138.05,913540165.8162203,127620086886392.0,496208.0,665517.0,19902556.25,2258940134375.0,52223364.3962656,5.8791241,2853662.0,838450,495331,10523844306.01346762052259035,19322.678774904386457937573511195,913540165.8162186623242300757388,51765605.43703965,669966.37371189134632933,127620086886391.8
2025-08-07 00:00:00,115024.46,1021388657.6139685,127620086886392.0,565200.0,634516.0,19902556.25,2258940134375.0,59669628.45612645,5.198369349999999,2853662.0,810557,564678,14007781986.69873107589210041,21297.382464778206550329326761972,1021388661.674145213587367958898986447728,59089472.318169978125,604530.43589529998970465,127620086886391.8
2025-08-07 03:30:00,115024.46,1021388657.6139685,127620086886392.0,565200.0,634516.0,19902556.25,2258940134375.0,59669628.45612645,5.198369349999999,3569296.5,810557,564678,14007781986.69873107589210041,21297.382464778206550329326761972,1021388661.674145213587367958898986447728,59089472.318169978125,604530.43589529998970465,127620086886391.8
2025-08-07 13:14:39,115024.46,1021388657.6139685,127620086886392.0,565200.0,634516.0,19903200.0,2318324736000.0,59669628.45612645,5.198369349999999,3569296.5,810557,564678,14007781986.69873107589210041,21297.382464778206550329326761972,1021388661.674145213587367958898986447728,59089472.318169978125,604530.43589529998970465,127620086886391.8
2025-08-08 00:00:00,117510.56,870485436.2761792,127818825794488.94,474798.0,749938.0,19903200.0,2318324736000.0,50684514.53970229,5.661166090000002,3569296.5,960615,474837,13497802962.31109054365887897,24896.328269384882108146670989191,870936594.9483012888471732471234776639192900784,49979606.930520159375,686118.23562892795080273,127885072097187.85839416
2025-08-08 08:45:00,117510.56,870485436.2761792,127818825794488.94,474798.0,749938.0,19903200.0,2318324736000.0,50684514.53970229,5.661166090000002,2203182.5,960615,474837,13497802962.31109054365887897,24896.328269384882108146670989191,870936594.9483012888471732471234776639192900784,49979606.930520159375,686118.23562892795080273,127885072097187.85839416
2025-08-09 00:00:00,116676.54,746374213.3917352,129435235580344.62,376121.0,591211.0,19903200.0,2318324736000.0,43614181.876055986,4.494624190000002,2203182.5,767705,377106,8401212096.37339081086139375,17690.10578492165342188592772125,746374217.509660810049965815219026428608,42235475.2055234375,500196.19508029359946875,129435235580344.8
2025-08-09 06:42:42,116676.54,746374213.3917352,129435235580344.62,376121.0,591211.0,19903931.25,2323983012750.0,43614181.876055986,4.494624190000002,2203182.5,767705,377106,8401212096.37339081086139375,17690.10578492165342188592772125,746374217.509660810049965815219026428608,42235475.2055234375,500196.19508029359946875,129435235580344.8
2025-08-09 14:00:00,116676.54,746374213.3917352,129435235580344.62,376121.0,591211.0,19903931.25,2323983012750.0,43614181.876055986,4.494624190000002,3549545.0,767705,377106,8401212096.37339081086139375,17690.10578492165342188592772125,746374217.509660810049965815219026428608,42235475.2055234375,500196.19508029359946875,129435235580344.8
