strategy,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,final_value,win_rate,num_trades
Buy-and-Hold,71.91328072481194,46.81576811496242,38.02894123148404,1.2310563112970336,-28.144478094573678,17191.328072481192,50.679611650485434,0
Long-Only (ElasticNet),122.55649676178577,76.29665795129247,29.6720597440789,2.5713300191948276,-17.178526649733325,22255.64967617858,34.95145631067961,37
Long-Short (ElasticNet),188.11848649532465,111.69736741395342,37.80877435819522,2.954271047131749,-21.664946082223203,28811.848649532465,53.20388349514563,38
Threshold 1% (ElasticNet),73.8609271275032,47.99268385101061,28.73413333280831,1.670232517373792,-16.421201450492433,17386.09271275032,31.2621359223301,17
Threshold 2% (ElasticNet),109.97039925907353,69.17088656348717,27.3809003521299,2.5262458748222474,-13.342625434748287,20997.039925907353,27.96116504854369,13
