model,train_r2,test_r2,train_rmse,test_rmse,train_mape,test_mape
Random Forest,0.9352011114569929,-0.05562200326625333,2276.571278628504,7140.160531466439,3.84409824978885,10.105512048701486
XGBoost,0.992635908522266,-0.8451424867500807,767.4623187372238,9439.928690649023,1.393588794175855,14.226239635705282
