Period,Train R²,Test R²,Test RMSE,Test MAE,Direction Accuracy,Vars Used
Pre-ETF,0.9610858714274378,0.05602446110458992,5697.057471450226,4939.4839337844305,0.5093167701863354,59
Post-ETF,0.9772651111185174,-0.045473170757242,10691.709576944588,10096.405074042452,0.47150259067357514,58
