model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape
Random Forest,0.9629899262435149,-2.4992518379842164,2715.542170824917,38590.96273190993,1854.7887632065538,34765.19323296173,4.986824584333646,36.886067054887995
XGBoost,0.9886838595853392,-2.0168818854619937,1501.5705434778831,35832.5047465787,1131.6377160904256,30042.947581845237,3.20306915442596,30.322152199076392
