Model,R²,RMSE,MAE,MAPE
Baseline: Yesterday,0.9627176744538883,2019.0273610204156,1448.6314735233161,1.3657431857089641
Baseline: MA7,0.9020455002125755,3272.6751799484555,2493.5777462345177,2.3265812727322026
Baseline: Linear Trend,0.9415488136454947,2528.0599720368073,1883.738068652849,1.7624104076134632
ElasticNet (98 vars),0.5300046962199776,7168.651475239903,4802.996488410736,4.447158407935502
