Strategy,Final_Value,Return_Pct,Trades,Direction_Accuracy,Magnitude_R2
Buy-and-Hold,16453.15558600878,64.53155586008779,1,,
Direction (RF),10290.317268349934,2.903172683499333,14,0.36151603498542273,-1.0106135578886524
Direction (XGB),7875.7395542305785,-21.242604457694213,42,0.35276967930029157,-1.4496561097891996
