Model,R²,RMSE,MAE,MAPE
Baseline: Yesterday,0.9855073751014327,705.9009334898861,466.5916515217392,1.5086255211888984
Baseline: MA7,0.9586279156652926,1192.67998431802,822.6832385512424,2.6910463715873063
Baseline: Linear Trend,0.9784646061573906,860.4916087895496,630.0363173809515,2.0482138691655027
ElasticNet (87 vars),0.7168445307992848,3088.314592830684,2069.1707771965584,6.769733599614225
