model,train_r2,test_r2,r2_gap,train_rmse,test_rmse
Random Forest,0.9879520001861984,-10.217277502141545,11.205229502327743,1768.0428660759283,39058.06115087402
XGBoost,0.9945706806048542,-11.215400971850638,12.209971652455492,1186.8832740927228,40758.74589254515
