horizon,horizon_days,pre_etf_acc,post_etf_acc,improvement
1d,1,0.4503105590062112,0.6378378378378379,0.18752727883162668
7d,7,0.4472049689440994,0.5135135135135135,0.0663085445694141
30d,30,0.5341614906832298,0.3837837837837838,-0.15037770689944602
