period,rf_accuracy,xgb_accuracy,samples,price_mean,volatility
Pre-ETF,0.4968944099378882,0.484472049689441,1071,34916.02152140989,3.28471538065167
Post-ETF,0.6217616580310881,0.6321243523316062,643,82756.6839118818,2.5535922274484366
Pre→Post (Extrap),0.5987558320373251,,643,82756.6839118818,2.5535922274484366
Post→Pre (Retro),0.45098039215686275,,1071,34916.02152140989,3.28471538065167
