Strategy,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Win Rate,Trades
Buy-and-Hold,94.18250990190467,112.67456144664791,3.1268208850926844,-20.057773337747122,48.598130841121495,0
Long-Only,-3.8500684521868056,-4.366121811993495,-0.24114576533288312,-12.336925796458395,13.707165109034266,44
Threshold 1%,-4.24592972412805,-4.81370207630002,-0.26891192867628055,-15.84719419971129,10.59190031152648,32
Threshold 2%,5.928693654070272,6.76828681512649,0.4068075306386562,-13.297514667139668,7.165109034267912,22
