horizon,horizon_days,rf_dir_train_acc,rf_dir_test_acc,xgb_dir_test_acc,rf_ret_train_r2,rf_ret_test_r2,rf_ret_test_rmse,test_samples,return_mean,return_std,up_ratio
1d,1,0.8982188295165394,0.575098814229249,0.5652173913043478,0.3143023014190852,-0.17861628648621974,2.6495310177091,506,0.14794842918242057,2.4405223492930856,0.3814229249011858
7d,7,0.916030534351145,0.5197628458498024,0.5296442687747036,0.7077069146035591,-1.1023146060722486,8.61425354592534,506,1.053634691902848,5.941126458081982,0.5098814229249012
30d,30,0.9508057675996607,0.4407114624505929,0.5098814229249012,0.9432496323847451,-2.624862801761226,23.91229979378826,506,4.27760975376584,12.559592828243353,0.567193675889328
