feature,importance
bc_total_bitcoins,0.048321831926781446
SMA30_marketcap,0.04771969417032093
EMA200_volume,0.04580960942630297
DTWEXBGS,0.04362694025186356
SPX,0.04166022843118232
EMA200_marketcap,0.03789213721250031
bc_difficulty,0.036344244890851744
OBV,0.035633356735742285
DGS10,0.033143659693445016
EURUSD,0.03289443444008849
EMA100_marketcap,0.030809167854135778
EMA100_volume,0.02696445670039479
volatility_20d,0.02668253685660426
QQQ,0.026148785773663617
DEXUSEU,0.024690186195985852
SMA20_marketcap,0.024139924787652728
OIL,0.02391668546389055
M2SL,0.02032165984405315
MACD_signal,0.019603429078382337
EMA30_marketcap,0.018579357696157872
VIXCLS,0.015836530377211
CPIAUCSL,0.01560512039165192
bc_mempool_size,0.015596585252254252
UUP,0.015513823437906358
google_trends_btc,0.015445163380359247
BSV,0.01491636030094725
EMA20_marketcap,0.014654918567972674
T10Y2Y,0.014215300860835256
DFF,0.013170923311160956
ATR,0.013098415759166223
SILVER,0.012778690016100418
MACD,0.01274409540637095
bc_miners_revenue,0.01242014779811169
ADX,0.012396232957487726
fear_greed_index,0.011341294689749041
RSI,0.010953317443595997
ROC,0.010912753555603576
GOLD,0.010635194614684587
EMA5_marketcap,0.008732950312387985
GDP,0.008729530547534755
EMA14_marketcap,0.008529951875103522
SMA10_marketcap,0.007603769063754161
bc_hash_rate,0.007544987674810588
bc_transaction_fees,0.007386055337814061
EMA10_marketcap,0.007156418710561812
SMA5_marketcap,0.006850490460235549
MFI,0.006648118068908356
UNRATE,0.006259826436071429
market_cap_approx,0.005536716111081523
CCI,0.005495364742147632
MACD_diff,0.005228942985246214
bc_n_transactions,0.003804996130989524
bc_n_unique_addresses,0.003697354024690494
Stoch_D,0.00345424728249548
Williams_R,0.002827758463130865
Stoch_K,0.002703447007029629
Volume,0.0024914599238964716
daily_return,0.001208102533935684
volume_change,0.000972316757005177
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
