Date,Funding_Rate,Futures_Close,Futures_Volume,Funding_Rate_MA7,Funding_Rate_MA30,Spot_Close,Basis,Basis_MA7
2020-01-01,-9.664e-05,7197.57,56801.329,,,,,
2020-01-02,1.04e-06,6962.04,115295.677,,,,,
2020-01-03,0.0001,7341.72,208493.458,,,,,
2020-01-04,7.387e-05,7350.71,92586.033,,,,,
2020-01-05,0.0001,7354.36,117765.972,,,,,
2020-01-06,0.0001,7757.39,168150.317,,,,,
2020-01-07,0.0001,8152.49,280809.162,5.4038571428571426e-05,,,,
2020-01-08,0.0001,8059.84,321225.114,8.213e-05,,,,
2020-01-09,0.0001,7818.59,187263.143,9.626714285714285e-05,,,,
2020-01-10,0.0001,8207.09,253783.948,9.626714285714285e-05,,,,
2020-01-11,0.0001,8020.56,164741.715,0.0001,,,,
2020-01-12,0.0001,8186.7,108629.964,0.0001,,,,
2020-01-13,0.0001,8113.0,74581.364,0.0001,,,,
2020-01-14,0.0001,8825.0,290777.981,0.0001,,,,
2020-01-15,0.0001,8825.3,237633.837,0.0001,,,,
2020-01-16,0.00031466,8725.08,167958.963,0.00013066571428571429,,,,
2020-01-17,0.00056749,8918.72,205717.686,0.00019745,,,,
2020-01-18,0.00032081,8925.0,114708.682,0.00022899428571428572,,,,
2020-01-19,0.00092467,8705.85,225314.525,0.0003468042857142857,,,,
2020-01-20,0.00010782,8650.0,125161.675,0.00034792142857142857,,,,
2020-01-21,0.0001574,8742.43,107577.153,0.00035612142857142855,,,,
2020-01-22,0.0001,8684.57,94305.496,0.00035612142857142866,,,,
2020-01-23,0.00052304,8409.6,163407.064,0.00038588999999999995,,,,
2020-01-24,0.00017948,8441.96,144785.391,0.00033046,,,,
2020-01-25,0.0001,8344.64,96961.714,0.00029891571428571426,,,,
2020-01-26,0.0001,8611.21,117898.916,0.0001811057142857143,,,,
2020-01-27,0.0001,8913.61,172235.328,0.00017998857142857144,,,,
2020-01-28,0.00054394,9398.98,244467.546,0.00023520857142857141,,,,
2020-01-29,0.00053694,9311.0,169460.643,0.00029762857142857143,,,,
2020-01-30,0.00034852,9525.67,190137.536,0.00027269714285714286,0.00020343466666666665,,,
2020-01-31,0.00039858,9364.51,146644.026,0.0003039971428571428,0.000219942,,,
2020-02-01,0.00049052,9392.74,109040.285,0.00035978571428571434,0.00023625800000000001,,,
2020-02-02,0.00065524,9338.2,148402.977,0.0004391057142857143,0.000254766,,,
2020-02-03,0.0001,9300.64,159049.385,0.0004391057142857143,0.000255637,,,
2020-02-04,0.00038192,9198.35,147843.902,0.00041596,0.0002650343333333333,,,
2020-02-05,0.00052631,9630.0,212311.697,0.00041444142857142855,0.0002792446666666667,,,
2020-02-06,0.00055668,9778.12,200556.367,0.00044417857142857144,0.00029446733333333335,,,
2020-02-07,0.00034616,9821.52,129740.767,0.00043669,0.0003026726666666667,,,
2020-02-08,0.00099315,9906.43,129267.269,0.0005084942857142856,0.00033244433333333337,,,
