Strategy,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Trades
Baseline: Yesterday,0.0,0.0,0.0,0.0,0
Baseline: MA7,-29.664494398075327,-48.598251024443115,-1.9698717035951863,-33.32562608504784,37
Baseline: Linear,-45.236761330830745,-67.97915417152069,-2.8070618254614725,-46.54189853382428,75
ElasticNet Long-Only,1.334838057325971,2.539442719895568,0.3999637075178394,-4.073300396206237,3
