Model,Train_R2,Test_R2,R2_Gap,Train_RMSE,Test_RMSE,Selected_Vars
Lasso,0.9893255560167289,0.6445236324262581,0.3448019235904708,1764.4857400288813,6234.420252379676,63
Ridge,0.9885243459379205,0.5450764833838933,0.44344786255402724,1829.507716275411,7052.772920450639,87
ElasticNet,0.9889848791818758,0.5300046962199776,0.45898018296189824,1792.4215393787556,7168.651475239903,98
