Date,NVT_Ratio,NVT_Ratio_MA90,Puell_Multiple,Hash_Ribbon_MA30,Hash_Ribbon_MA60,Hash_Ribbon_Spread,Miner_Revenue_to_Cap,Miner_Revenue_to_Cap_MA30,Active_Addresses_Change,Active_Addresses_MA90,Avg_Fee_Per_Tx,Avg_Fee_Per_Tx_MA30,Difficulty_MA30,Difficulty_MA60,Difficulty_MA90,Difficulty_Compression,Price_to_MA200,Price_MA200,Mempool_Stress,Hash_Price,Hash_Price_MA90
2021-02-03,1836037.5858292945,,,,,,0.006187965665184761,,,,0.0003897519564434741,,,,,,,,,0.2520192026781277,
2021-02-04,1853248.7985638506,,,,,,0.006437686191447841,,,,0.0004537553282724606,,,,,,,,,0.2649364942566553,
2021-02-05,1929832.7428479206,,,,,,0.006563963017257583,,,,0.0003989578181737496,,,,,,,,,0.2610684897905143,
2021-02-06,2122471.010233253,,,,,,0.006398926253276183,,,,0.00035432045042184905,,,,,,,,,0.26829157223988676,
2021-02-07,2641860.415575402,,,,,,0.0054307541274302065,,,,0.00029574441803293007,,,,,,,,,0.247176954141096,
2021-02-08,2123727.1913612243,,,,,,0.006836491065042472,,,,0.0004002466830537193,,,,,,,,,0.28196467136156966,
2021-02-09,2286708.4763340717,,,,,,0.006270138160727298,,,,0.0005453309119837397,,,,,,,,,0.3388936662589437,
2021-02-10,2416753.826751458,,,,,,0.006002102681569352,,,,0.0004934962228143642,,,,,,,,,0.3244066607271911,
2021-02-11,2825682.518765997,,,,,,0.005501980385492737,,,,0.0006082206462886394,,,,,,,,,0.34468690495018167,
2021-02-12,2447495.38008255,,,,,,0.00634437034502737,,,,0.0005895584175679492,,,,,,,,,0.35232815584113586,
2021-02-13,2619096.344086521,,,,,,0.00611946360023483,,,,0.00042888857354623106,,,,,,,,,0.3225181601221708,
2021-02-14,2921924.7021738947,,,,,,0.005776338991576833,,,,0.0003555205029588777,,,,,,,,,0.3170777634987623,
2021-02-15,2824917.7529988135,,,,,,0.005939513395645084,,,,0.00039402601454795357,,,,,,,,,0.32171647468920106,
2021-02-16,3076664.619807078,,,,,,0.004697159536286648,,,,0.0004049565340481597,,,,,,,,,0.3322269109468228,
2021-02-17,2864301.561068666,,,,,,0.0056364284090805765,,,,0.00044582305392124435,,,,,,,,,0.34878546575324576,
2021-02-18,3018818.519543907,,,,,,0.005610098630669376,,,,0.000466164680315378,,,,,,,,,0.3677260788937524,
2021-02-19,2840961.1520637497,,,,,,0.00610490163668512,,,,0.00047076075143374886,,,,,,,,,0.36305685129694865,
2021-02-20,3028106.307648623,,,,,,0.0061509768572942415,,,,0.0004612533028682336,,,,,,,,,0.37859010074113963,
2021-02-21,3831340.081967892,,,,,,0.005537778186490114,,,,0.0004237205269357917,,,,,,,,,0.37851391391107386,
2021-02-22,3702653.025156456,,,,,,0.005006773809833367,,,,0.0004617938579247609,,,,,,,,,0.3683497294526231,
2021-02-23,3525183.688907897,,,,,,0.004777849611964943,,,,0.0006367201631554267,,,,,,,,,0.3535419319163155,
2021-02-24,2503121.0383894686,,,,,,0.0066654956710097,,,,0.0005292804241914811,,,,,,,,,0.3479560531782081,
2021-02-25,2748553.8073758804,,,,,,0.0064475417581676886,,,,0.0004677073963025538,,,,,,,,,0.343050956712612,
2021-02-26,3022450.7734965747,,,,,,0.005117545972280359,,,,0.0004858686821227282,,,,,,,,,0.3157406017902573,
2021-02-27,2735420.4216609257,,,,,,0.0058289987685622565,,,,0.0003251697029474571,,,,,,,,,0.301678136072465,
2021-02-28,3414048.6784210256,,,,,,0.004652579318703888,,,,0.00032635032557792046,,,,,,,,,0.28554790512623274,
2021-03-01,2940054.592163245,,,,,,0.0053979336387929315,,,,0.0004343757207489859,,,,,,,,,0.3170751157524861,
2021-03-02,2690331.06511588,,,,,,0.005558513541872882,,,,0.0003926185738324005,,,,,,,,,0.32745409097289147,
2021-03-03,2728644.1333761243,,,,,,0.006061937211146443,,,,0.0003980103237523356,,,,,,,,,0.3359662376331294,
2021-03-04,3135761.130449588,,,155281198.0032559,,,0.005034299293662199,0.005803216857747176,,,0.0003900032806112583,0.00044094650815986006,21497892553074.96,,,,,,1.0631526820502577,0.3307729331112345,
2021-03-05,2915984.2548996005,,,155469047.19267112,,,0.005375954834157611,0.005776149830046272,-3.591855082443862,,0.0003598827930870631,0.0004399508693813131,21527912678072.797,,,,,,1.0640071632553896,0.3095949246898999,
2021-03-06,3096668.9051843286,,,155356760.369029,,,0.005574777731272419,0.00574738621470709,-24.37445987499246,,0.000270530681161534,0.00043384338114428215,21549584494917.08,,,,,,1.0736329829028524,0.3063826911910042,
2021-03-07,3453770.1840195213,,,154714291.2382137,,,0.005491303004911687,0.005711630880962227,-23.55537856608163,,0.0002731855148040194,0.0004296509710319578,21570409381948.68,,,,,,1.045949960029738,0.3176765099938904,
2021-03-08,3262906.611420043,,,154588947.3528414,,,0.005647933030686692,0.005686597773542577,-9.002375864536727,,0.0003101400787447424,0.00042817829197605426,21572536939328.164,,,,,,1.1391442291272111,0.3255677232796494,
2021-03-09,3178776.115574624,,,154023895.8821591,,,0.005551853818136675,0.00569063442989946,8.908482652283055,,0.0003508278117877891,0.0004300144051012162,21572999665985.195,,,,,,1.1423753450641414,0.3543182225967224,
2021-03-10,2901686.5045827543,,,153565602.39213747,,,0.005764252227931639,0.005654893135329099,1.241234502795363,,0.0003198962845057427,0.00042733605848295036,21573462392642.23,,,,,,1.1330525977958394,0.3629076096981914,
