strategy,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,final_value,win_rate,num_trades
Buy-and-Hold,22.083640938752367,29.00137141355781,35.28858686712204,0.8218343092842304,-28.14447809457368,12208.364093875238,50.6993006993007,0
Long-Only (ElasticNet),-11.143649996215299,-13.996721956936364,17.80268266974062,-0.7862142024654923,-18.393987548418604,8885.63500037847,16.783216783216783,21
Long-Short (ElasticNet),-42.72337089356961,-50.895073192835305,36.228938904755495,-1.4048182124968254,-51.1033508408294,5727.662910643039,46.50349650349651,22
Threshold 0.5%,-4.980455203256029,-6.311916814058128,17.600569716204244,-0.3586200285464033,-13.383948702785583,9501.954479674398,16.433566433566433,11
Threshold 1%,-7.005188785681982,-8.85218444121849,17.386640565080103,-0.5091371394079145,-12.680156527448927,9299.481121431802,14.685314685314685,9
Threshold 2%,-5.983232456852927,-7.571908343917821,16.58759797755716,-0.45648009761042746,-12.248138494708579,9401.676754314707,11.888111888111888,7
