Model,Train Acc,Test Acc,AUC,Precision,Recall,F1
Random Forest,0.9124957439564181,0.503968253968254,0.5027399917863234,0.5344827586206896,0.0492845786963434,0.09024745269286755
XGBoost,0.9839972761321076,0.5007936507936508,0.5136495682780758,0.5,0.0397456279809221,0.07363770250368189
