model,return_train_r2,return_test_r2,return_r2_gap,price_test_r2,price_rmse
Random Forest,0.299088575518333,-1.0106135578886524,1.3097021334069854,0.9185361554214317,3328.69054356971
XGBoost,0.7942959065065345,-1.4496561097891996,2.243952016295734,0.8988312983326666,3709.4887595725077
