Date,Regime,Prob_Regime_0,Prob_Regime_1,Return
2021-02-04,0,0.504295233902768,0.4957047660971978,-1.4571469921518587
2021-02-05,1,0.15661645800438517,0.8433835419955807,3.2991387885011436
2021-02-06,1,0.1816386718952891,0.8183613281046769,2.940682821274332
2021-02-07,1,0.36596383949595557,0.6340361605040105,-0.9233693316892944
2021-02-08,1,1.96698969369138e-38,0.999999999999966,18.746473745444426
2021-02-09,1,0.33964065990078646,0.6603593400991796,0.6161524068688973
2021-02-10,1,0.07645296044406683,0.9235470395558991,-3.362488615957615
2021-02-11,1,4.0472005642443606e-05,0.9999595279943237,6.659103732471294
2021-02-12,0,0.558253605213106,0.44174639478686,-0.8442623865987486
2021-02-13,0,0.5993310838765687,0.40066891612339733,-0.8406213615795188
2021-02-14,1,0.2062349448576602,0.7937650551423058,3.4216235794126693
2021-02-15,1,0.36965263493006134,0.630347365069905,-1.5851261121055504
2021-02-16,1,0.18397882625835715,0.8160211737416092,2.6171883754079195
2021-02-17,1,0.0003027108100697312,0.9996972891898966,5.994196030727861
2021-02-18,1,0.28757969917253184,0.7124203008274346,-0.8997504453191696
2021-02-19,1,2.3697607547491448e-07,0.9999997630238908,8.143096885174916
2021-02-20,1,0.40927392697615367,0.5907260730238129,0.3782318524017114
2021-02-21,1,0.2043551031442026,0.7956448968557639,2.567625876420765
2021-02-22,1,0.00025558891610988235,0.9997444110838565,-5.7918459637826825
2021-02-23,1,2.0698902815792077e-11,0.9999999999792673,-9.93019854000602
2021-02-24,1,0.17583967603764844,0.8241603239623178,1.8042326887146798
2021-02-25,1,0.003903854252073783,0.9960961457478925,-5.25392420359212
2021-02-26,1,0.4852547130448424,0.5147452869551239,-1.6012490272519941
2021-02-27,0,0.6405030707306822,0.35949692926928417,-0.3265200000687418
2021-02-28,1,0.35184873441358844,0.648151265586378,-2.274775466159895
2021-03-01,1,3.274591516791847e-11,0.9999999999672204,9.955017066170036
2021-03-02,1,0.09473998274011203,0.9052600172598547,-2.523116196056663
2021-03-03,1,0.005981606747248606,0.9940183932527181,4.4632060048528155
2021-03-04,1,0.04529893197129689,0.9547010680286698,-3.9120359836955276
2021-03-05,0,0.5653157640229529,0.43468423597701383,0.7539701685638667
2021-03-06,0,0.5802370872642097,0.419762912735757,-0.030498062573725004
2021-03-07,1,0.01447581603925071,0.9855241839607161,4.690649827697468
2021-03-08,1,0.15186584575844236,0.8481341542415244,2.0306565438378055
2021-03-09,1,0.0038975052007819144,0.9961024947991848,4.933522041825644
2021-03-10,1,0.18295414591424733,0.8170458540857194,2.1604243728999606
2021-03-11,1,0.14321023797468746,0.8567897620252793,3.2076714804796236
2021-03-12,1,0.3579947811935028,0.6420052188064641,-0.8183206627376705
2021-03-13,1,1.4443675760023111e-05,0.9999855563242068,6.821652779298026
2021-03-14,1,0.039537419605226776,0.9604625803947403,-3.1689610348854313
2021-03-15,1,0.00043070692845797055,0.9995692930715092,-5.7251004607089655
2021-03-16,1,0.25508205931318323,0.744917940686784,1.6057021859876341
2021-03-17,1,0.12728884694692985,0.8727111530530376,3.636996288866423
2021-03-18,0,0.567638728888387,0.43236127111158035,-1.718969378806201
2021-03-19,0,0.7905362888625953,0.20946371113737203,0.8429649985728371
2021-03-20,0,0.814015254704929,0.18598474529503822,-0.056571900316848556
2021-03-21,0,0.5995510311242042,0.4004489688757632,-1.3551247848922587
2021-03-22,1,0.007960983142548377,0.9920390168574188,-5.205318550496507
2021-03-23,1,0.3651774755745379,0.6348225244254294,0.3847498100480573
2021-03-24,1,0.09773747487412515,0.9022625251258422,-3.5891807357148364
2021-03-25,1,0.19044106853067316,0.8095589314692941,-2.0277031943987667
2021-03-26,1,5.6922606893146335e-05,0.9999430773930742,6.639992467484257
2021-03-27,1,0.4898577090898364,0.510142290910131,1.516575948455956
2021-03-28,0,0.6417057958189953,0.35829420418097196,-0.040672148844056455
2021-03-29,1,0.3379280504820786,0.6620719495178886,3.2161378636586413
2021-03-30,0,0.592682807783294,0.4073171922166733,2.0216245238434905
2021-03-31,0,0.8392118239697268,0.1607881760302404,0.0019359550123221325
2021-04-01,0,0.8753770503450161,0.12462294965495119,0.30037350351732606
2021-04-02,0,0.8039006286218996,0.1960993713780678,0.4881969075025472
2021-04-03,1,0.4701221796592824,0.5298778203406851,-2.998135020928294
2021-04-04,0,0.6050924267597118,0.3949075732402557,2.004489709586821
2021-04-05,0,0.7391948839245143,0.2608051160754534,0.509413857402019
2021-04-06,0,0.5707289794946391,0.4292710205053284,-1.4655445572621884
2021-04-07,1,0.07640940399559454,0.9235905960043729,-3.6833390205118
2021-04-08,1,0.04067064422843841,0.959329355771529,4.058980832598302
2021-04-09,0,0.5568065473557215,0.4431934526442459,-0.13536328688836807
2021-04-10,1,0.4961419987811249,0.5038580012188425,2.658134373880938
2021-04-11,0,0.7177744243943969,0.28222557560557054,0.6885903802817506
2021-04-12,0,0.6320356780318978,0.3679643219680697,-0.5174186395222824
2021-04-13,1,0.001064114226651262,0.9989358857733163,6.027376468283441
2021-04-14,0,0.6231790151983151,0.3768209848016525,-0.6200634397178995
2021-04-15,0,0.7099737361063786,0.2900262638935889,0.32374805328465595
2021-04-16,1,0.4286048690408987,0.5713951309590688,-2.7501379437151807
2021-04-17,1,0.4156072350261696,0.5843927649737979,-1.4437688523963654
2021-04-18,1,8.781756260856882e-06,0.9999912182437065,-7.362154685017064
2021-04-19,1,0.49096694219594145,0.5090330578040262,-0.8750468790049704
2021-04-20,1,0.4535488087509456,0.5464511912490218,1.3436976002010992
