Date,BTC_vs_bc_hash_rate,BTC_vs_bc_difficulty,BTC_vs_bc_n_transactions,BTC_vs_bc_transaction_fees,BTC_vs_bc_miners_revenue
2021-04-04,0.03354031271618538,0.019665100822377293,0.0185820478141454,0.1313617005190527,0.2570742125543399
2021-04-05,0.03958986150026711,0.018007564976512364,0.023464089117732557,0.1383929110651904,0.2686086231650018
2021-04-06,0.043742624709464176,0.022886130867494435,0.018810477065139965,0.14013090464513772,0.27191003735230046
2021-04-07,0.023059650887432562,-0.003120746621225687,0.01897934849967002,0.15597307676486266,0.2577995211685609
2021-04-08,-0.011553164121615217,-0.006459498769191733,-0.014802304088413942,0.1357043896219676,0.2113510530598305
2021-04-09,-0.03325775496977018,0.0008310875119347672,-0.08703285921435595,0.027550296353757667,0.14215585930114294
2021-04-10,-0.029317575991590218,-0.0014298031042493996,-0.0960264223492397,0.010974260869196272,0.1429868584780309
2021-04-11,-0.03119746128375362,-0.0045027450892869275,-0.10645482433745983,-0.0030113803534611194,0.13372706061414796
2021-04-12,-0.00034739648472399627,0.0009259382368409775,-0.08793804452002055,-0.028053591620415153,0.14959788356917358
2021-04-13,-0.0021759920365288996,-0.006127986046025951,-0.061056478236290596,-0.007823248790428188,0.16303900021384224
2021-04-14,0.008711865722565612,-0.006084695405435581,-0.06003961256476301,-0.02662457874210127,0.16176620894268084
2021-04-15,0.01154958076799595,-0.004304336858833491,-0.04748704527851998,-0.011267827124523363,0.15914350479247735
2021-04-16,0.041270847981965925,-0.040327214125763344,0.0072743267324864615,0.005312096021546821,0.18975335362666748
2021-04-17,0.07307128667059719,-0.03656051332501889,0.019936420020157792,-0.0006984234727940608,0.21844748136859626
2021-04-18,-0.07923552497161643,-0.0206709562372006,-0.11661548128496335,-0.07952958654667061,0.06052677352065783
2021-04-19,-0.0725044671253523,-0.02053770152515797,-0.10711987165547134,-0.07861335978001505,0.06753199476342402
2021-04-20,-0.10063934654649896,-0.019674355149436128,-0.11651584251542883,-0.078575968834442,0.050260266301436145
2021-04-21,-0.0693749779830608,-0.016941083986640314,-0.08677950956582553,-0.05558117832161359,0.07853499098226432
2021-04-22,-0.1014322479888318,-0.01161533071562701,-0.0942913905979988,-0.05508416450874304,0.04336761760239083
2021-04-23,-0.11727078881032736,-0.0151001001366428,-0.0904867742843767,-0.039451658058371704,0.027598260055021136
2021-04-24,-0.14619493085729227,-0.020025757110767706,-0.09267565210287487,0.04071940102358348,0.0017440872094601574
2021-04-25,-0.16485187026270798,-0.016617913916913397,-0.09697420242117141,0.05616873295837577,-0.0024256201000990405
2021-04-26,-0.24785242805431848,-0.02803233532476413,-0.10791451097505461,0.1219768112353474,-0.030296223205188638
2021-04-27,-0.24152786813835087,-0.030519280587438417,-0.10164091830357394,0.11878390590235818,-0.02963439540743869
2021-04-28,-0.24094139730725112,-0.030433383363242184,-0.09961116523398948,0.11907417482101976,-0.02779618571826763
2021-04-29,-0.23936326304788874,-0.030147371262828015,-0.11494606356622598,0.1072950097267096,-0.03358607960199188
2021-04-30,-0.18431077334252058,-0.029809871607050953,-0.12185036833978902,0.026582967312917066,0.0023799803200989372
2021-05-01,-0.17645639586510914,-0.026966649246681778,-0.10798288914823154,0.030368624199699233,0.013154818428521559
2021-05-02,-0.1970300160399181,-0.011519149230048284,-0.09906048186750437,0.0398795905955969,-0.01633074350780355
2021-05-03,-0.2291623828815864,-0.013199455509196104,-0.11223822908071185,0.03219391741412648,-0.044124271404680115
2021-05-04,-0.22974283063455858,-0.009622492424349293,-0.1175459320806167,0.048707588132998886,-0.025614312693425886
2021-05-05,-0.2616722855081316,-0.014165436024097824,-0.11223296474693731,0.04443110535573896,-0.057883977878962094
2021-05-06,-0.25921313675316676,-0.010157291248624155,-0.09862808726990932,0.05164677275414527,-0.05918656967058396
2021-05-07,-0.2633160112790526,-0.01000906691164037,-0.10621752202955512,0.04172043398790057,-0.061247272148147056
2021-05-08,-0.24941064791872794,-0.008894599224473984,-0.11610039875501618,0.020737150509625598,-0.06191996205991648
2021-05-09,-0.2560511848667336,-0.0073611244801683046,-0.12352206004499637,0.023761889817687083,-0.06965650108178474
2021-05-10,-0.23449021695374367,-0.0036098916687329254,-0.12950574886202038,-0.01006181367743262,-0.05378672496840096
2021-05-11,-0.23594840600477993,-0.004799493017298138,-0.12684528814585713,-0.015493723487416695,-0.056953590410426504
2021-05-12,-0.21546486905831844,0.0031768015934943716,-0.08128476743003372,-0.0007424040472610761,-0.04580077294145084
2021-05-13,-0.2049927001109661,0.02782838379825037,-0.07569873433035232,-0.01712490221107562,-0.04581401635610066
2021-05-14,-0.2231160988289363,0.02567157167851582,-0.08850170789505474,0.010431377699274538,-0.0665452834888149
2021-05-15,-0.1982891623467837,0.029830568167235255,-0.06942415107978182,0.02998446902834688,-0.043633210067573404
2021-05-16,-0.18614961399594734,0.03346895123826359,-0.05951471991417243,0.03517602365268951,-0.03468163018604365
2021-05-17,-0.1571267555093804,0.03651422919534597,-0.07507962817150476,-0.006877087912065849,0.001720444268839167
2021-05-18,-0.14659129824140918,0.03657825882502809,-0.0695231963612477,-0.0007464825326435379,0.008799783561032722
2021-05-19,-0.19065438021989856,0.039380737593235085,-0.10179701755801239,-0.09657404470694818,-0.03256734061192855
2021-05-20,-0.20511072327359364,0.03181635428240119,-0.13732355567235122,-0.09416951811152972,-0.05481872364924701
2021-05-21,-0.20793042031136735,0.0321250830297243,-0.09580945779744449,-0.058952548638431614,-0.053190546342239554
2021-05-22,-0.20827889112632217,0.03206108497259875,-0.09749046670429758,-0.06092500500392083,-0.05519820387876728
2021-05-23,-0.21888617072472116,0.032916512352884016,-0.08122992576225586,-0.04283316306969804,-0.05050623031429265
2021-05-24,-0.2001629628052899,0.026297968032258884,-0.03813881374761922,-0.024379639165368484,-0.020287958027638307
2021-05-25,-0.17103864024347298,0.032164779498733434,-0.01930531212217875,-0.016562268475763614,0.011754456143636058
2021-05-26,-0.18462334183105578,0.03205813583659347,-0.018844213064506447,-0.01379070866303791,0.0006373112565572181
2021-05-27,-0.18192883246211708,0.03304148150603757,-0.014870951196818374,-0.009589697425450983,0.003634683565059574
2021-05-28,-0.17469736323308707,0.03875855709220726,-0.04324922856815906,-0.036574105959148215,0.007632048815936858
2021-05-29,-0.16884671808927718,0.041753385146081956,-0.04357365102106296,-0.03597804884609147,0.014261287880610318
2021-05-30,-0.16521030891862218,0.010804751197066054,-0.051739614756595914,-0.04711163118933275,0.03326496575186921
2021-05-31,-0.1677266387155953,0.0056893324973299785,-0.01924115312237466,-0.029688773268840393,0.03760985251265057
2021-06-01,-0.1681013151137342,-0.018421797850466264,-0.018937712672247184,-0.02955214376797873,0.03862199251511121
2021-06-02,-0.15948320637540922,-0.017519437772519,-0.02363731596344052,-0.031388188900466,0.04744242439381961
2021-06-03,-0.18443762938671135,-0.017675778915660745,-0.010483794916895474,-0.023674306856406774,0.03258978913073937
2021-06-04,-0.1681923577180392,-0.016598792119416374,-0.005694857745705681,-0.01905908307285512,0.04651579630426186
2021-06-05,-0.17232533429381372,-0.016397457296285573,0.009175202137590018,-0.0041998955039268615,0.04720983537398278
2021-06-06,-0.15354771553802488,-0.017480606602265858,0.01200351790519069,-0.013080337254329432,0.057966089942471564
2021-06-07,-0.10573793267515168,-0.015729469903953186,0.00022452005453251088,-0.04324390486032418,0.09943536062240375
2021-06-08,-0.10585001651676247,-0.01573062216095977,-0.0013933134385238097,-0.04547556138182971,0.09836554965353525
2021-06-09,-0.1489990090460757,-0.01610814022384361,-0.02628690125550809,-0.03784415889362185,0.06808940833961376
2021-06-10,-0.14390566317350256,-0.015763282096302997,-0.023113201075617106,-0.03461861041754374,0.07252601959440003
